13
# Azaphenalene
6 1 1.09274347819078   3.23306653253163   9.90472441213376
6 1 -0.27313521161244   3.18407313449468  10.14020016226249
6 1 -1.18682084437471   3.00659091493891   9.07562511209044
6 1 -2.58336707545125   2.95346705458184   9.29128808231757
6 1 -3.46073666264206   2.77864167229588   8.23151300061257
6 1 -2.97500958751108   2.65295602178116   6.93854016393093
6 1 -1.58600364817706   2.70022488644899   6.67761571685296
6 1 -1.06747514266352   2.57439047712035   5.36806678179342
6 1 0.29900894706658   2.62384428972022   5.13613088601968
6 1 1.17919199354135   2.79851891727821   6.19360593293796
6 1 0.70388360012497   2.92869620326458   7.51904871385719
6 1 1.58187431868776   3.10763442299976   8.61301317582586
7 2 -0.68964439862274   2.87849660048838   7.75743844525357
